USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4870520	02410007	Stowell CDP	57	S	26027651	506458	10.049	0.196	29.77996	-94.368614                                                                                                                   
TX	4870544	02411988	Stratford city	25	A	5267972	0	2.034	0.	36.336609	-102.073915                                                                                                                        
TX	4870580	02411989	Strawn city	25	A	2016400	16648	0.779	0.006	32.550728	-98.498084                                                                                                                     
TX	4870604	02413342	Streetman town	43	A	3633575	7540	1.403	0.003	31.881835	-96.33257                                                                                                                    
TX	4870688	02584741	Study Butte CDP	57	S	12326288	9278	4.759	0.004	29.335553	-103.542609                                                                                                                
TX	4870772	02411992	Sudan city	25	A	2648758	0	1.023	0.	34.066414	-102.524194                                                                                                                            
TX	4870808	02411994	Sugar Land city	25	A	89805216	6049260	34.674	2.336	29.599277	-95.630648                                                                                                             
TX	4870868	02411996	Sullivan City city	25	A	9296665	0	3.589	0.	26.275217	-98.564441                                                                                                                     
TX	4870904	02411998	Sulphur Springs city	25	A	52367277	8793355	20.219	3.395	33.143108	-95.614702                                                                                                        
TX	4871060	02412005	Sundown city	25	A	3937072	0	1.52	0.	33.457545	-102.490809                                                                                                                           
TX	4871156	02413352	Sunnyvale town	43	A	42777020	715433	16.516	0.276	32.799752	-96.55855                                                                                                                
TX	4871180	02412010	Sunray city	25	A	4361457	0	1.684	0.	36.01827	-101.824485                                                                                                                            
TX	4871228	02412011	Sunrise Beach Village city	25	A	4372302	1565070	1.688	0.604	30.586012	-98.418768                                                                                                    
TX	4871264	02586993	Sunset CDP	57	S	12791285	1793	4.939	0.001	33.446847	-97.767269                                                                                                                      
TX	4871274	02584742	Sunset CDP	57	S	86476	0	0.033	0.	26.424603	-99.06212                                                                                                                                
TX	4871289	02586994	Sunset Acres CDP	57	S	43829	0	0.017	0.	27.794165	-99.456603                                                                                                                         
TX	4871324	02412014	Sunset Valley city	25	A	3613872	0	1.395	0.	30.225832	-97.815758                                                                                                                     
TX	4871356	02412004	Sun Valley city	25	A	354952	0	0.137	0.	33.67112	-95.428746                                                                                                                          
TX	4871384	02412015	Surfside Beach city	25	A	4264925	569183	1.647	0.22	28.953071	-95.283757                                                                                                             
TX	4871492	02412021	Sweeny city	25	A	5195755	0	2.006	0.	29.046462	-95.698553                                                                                                                            
TX	4871540	02412023	Sweetwater city	25	A	28681690	2421	11.074	0.001	32.469389	-100.408651                                                                                                               
TX	4871684	02412027	Taft city	25	A	3891349	0	1.502	0.	27.980146	-97.391101                                                                                                                              
TX	4871696	02034621	Taft Southwest CDP	57	S	1636972	0	0.632	0.	27.972997	-97.405666                                                                                                                     
TX	4871708	02412029	Tahoka city	25	A	6167275	34254	2.381	0.013	33.163777	-101.795081                                                                                                                    
TX	4871732	02412030	Talco city	25	A	1982696	3616	0.766	0.001	33.362882	-95.102269                                                                                                                       
TX	4871756	02412032	Talty town	43	A	8784758	0	3.392	0.	32.694438	-96.400756                                                                                                                             
TX	4871820	02584743	Tanquecitos South Acres CDP	57	S	1215906	0	0.469	0.	27.489718	-99.3797                                                                                                              
TX	4871824	02584744	Tanquecitos South Acres II CDP	57	S	178429	0	0.069	0.	27.486961	-99.388178                                                                                                          
TX	4871924	02412034	Tatum city	25	A	9796044	0	3.782	0.	32.315881	-94.518878                                                                                                                             
TX	4871948	02412035	Taylor city	25	A	47610031	293897	18.382	0.113	30.574423	-97.423961                                                                                                                  
TX	4871960	02412036	Taylor Lake Village city	25	A	2910194	477197	1.124	0.184	29.574804	-95.05526                                                                                                        
TX	4871966	02412037	Taylor Landing city	25	A	2716335	18960	1.049	0.007	29.866342	-94.129497                                                                                                             
TX	4872020	02412039	Teague city	25	A	13080747	501731	5.051	0.194	31.629487	-96.280818                                                                                                                   
TX	4872080	02413370	Tehuacana town	43	A	4088893	22825	1.579	0.009	31.743177	-96.540199                                                                                                                  
TX	4872176	02412046	Temple city	25	A	182107479	12605646	70.312	4.867	31.108381	-97.389125                                                                                                               
TX	4872188	02413374	Tenaha town	43	A	9697243	43312	3.744	0.017	31.943709	-94.245706                                                                                                                     
TX	4872248	02584745	Terlingua CDP	57	S	28538816	7861	11.019	0.003	29.287134	-103.58341                                                                                                                  
TX	4872284	02412050	Terrell city	25	A	57290649	853634	22.12	0.33	32.725827	-96.298003                                                                                                                   
TX	4872296	02412051	Terrell Hills city	25	A	4247506	0	1.64	0.	29.477099	-98.447102                                                                                                                      
TX	4872368	02412054	Texarkana city	25	A	75268757	1057429	29.061	0.408	33.448115	-94.081236                                                                                                              
TX	4872392	02412055	Texas City city	25	A	166583797	314018164	64.318	121.243	29.433717	-94.892695                                                                                                        
TX	4872464	02412056	Texhoma city	25	A	4915249	0	1.898	0.	36.493701	-101.793765                                                                                                                          
TX	4872476	02413379	Texline town	43	A	2631617	0	1.016	0.	36.376494	-103.018876                                                                                                                          
TX	4872530	02412058	The Colony city	25	A	36341884	5363988	14.032	2.071	33.089609	-96.903328                                                                                                             
TX	4872578	02413592	The Hills village	47	A	2785566	0	1.076	0.	30.346369	-97.986443                                                                                                                      
TX	4872656	02410076	The Woodlands CDP	57	S	111717136	1521536	43.134	0.587	30.172562	-95.509813                                                                                                          
TX	4872740	02413385	Thompsons town	43	A	12776334	8772553	4.933	3.387	29.481768	-95.636851                                                                                                               
TX	4872758	02584746	Thompsonville CDP	57	S	10068708	0	3.888	0.	27.260012	-98.784671                                                                                                                     
TX	4872776	02412063	Thorndale city	25	A	2492790	9230	0.962	0.004	30.614023	-97.206487                                                                                                                   
TX	4872788	02413386	Thornton town	43	A	2541612	12157	0.981	0.005	31.409957	-96.573614                                                                                                                   
TX	4872800	02413387	Thorntonville town	43	A	2074114	0	0.801	0.	31.578927	-102.922073                                                                                                                    
TX	4872824	02412066	Thrall city	25	A	1090622	0	0.421	0.	30.588253	-97.298202                                                                                                                            
TX	4872872	02412068	Three Rivers city	25	A	3789848	10000	1.463	0.004	28.466853	-98.177947                                                                                                               
TX	4872896	02413388	Throckmorton town	43	A	4292334	0	1.657	0.	33.18203	-99.17978                                                                                                                        
TX	4872902	02586996	Thunderbird Bay CDP	57	S	6584644	1020811	2.542	0.394	31.909633	-99.020798                                                                                                           
TX	4872948	02409319	Tierra Bonita CDP	57	S	2348448	0	0.907	0.	26.272699	-97.827639                                                                                                                      
TX	4872950	02584747	Tierra Dorada CDP	57	S	47268	0	0.018	0.	26.400653	-98.921262                                                                                                                        
TX	4872952	02409321	Tierra Grande CDP	57	S	12191157	0	4.707	0.	27.703686	-97.571818                                                                                                                     
TX	4872954	02586997	Tierra Verde CDP	57	S	5180237	0	2.	0.	27.761571	-97.717384                                                                                                                          
TX	4872989	01388537	Tiki Island village	47	A	1248331	2333906	0.482	0.901	29.297265	-94.914945                                                                                                           
TX	4872992	02586998	Tilden CDP	57	S	900945	0	0.348	0.	28.459855	-98.548677                                                                                                                              
TX	4873030	02413594	Timbercreek Canyon village	47	A	4939040	12925	1.907	0.005	35.05345	-101.818418                                                                                                      
TX	4873057	02409324	Timberwood Park CDP	57	S	54447130	126744	21.022	0.049	29.698289	-98.482395                                                                                                          
TX	4873076	02412071	Timpson city	25	A	6505172	11215	2.512	0.004	31.906912	-94.397056                                                                                                                    
TX	4873112	02413392	Tioga town	43	A	3352289	52865	1.294	0.02	33.470127	-96.919077                                                                                                                       
