"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"0500000US48403","Sabine County, Texas","10429","*****","10007","*****","8977","73","789","112","0","21","10","19","0","21","52","73","179","115","0","21","179","115","422","*****","352","47","5","11","19","31","0","21","0","21","46","35","0","21","0","21","0","21"
"0500000US48421","Sherman County, Texas","3067","*****","1740","82","1712","130","8","15","7","25","0","13","0","13","0","13","13","38","0","13","13","38","1327","82","1094","107","1","3","0","13","0","13","0","13","177","67","55","35","52","35","3","4"
"0500000US48437","Swisher County, Texas","7541","*****","4288","*****","3584","13","429","107","41","33","14","14","5","8","13","13","202","100","0","19","202","100","3253","*****","2662","319","11","13","230","178","0","19","0","19","162","107","188","134","126","116","62","48"
"0500000US48231","Hunt County, Texas","90322","*****","76485","*****","65807","76","7044","351","716","182","1076","144","44","53","51","70","1747","444","38","29","1709","440","13837","*****","5382","788","50","43","44","43","24","25","0","31","8191","788","146","92","119","89","27","23"
"0500000US48063","Camp County, Texas","12670","*****","9636","*****","7168","21","2140","143","49","25","40","63","0","21","0","21","239","134","15","22","224","130","3034","*****","1912","358","0","21","0","21","0","21","0","21","1098","358","24","29","6","10","18","27"
"0500000US48195","Hansford County, Texas","5532","*****","2963","*****","2950","16","4","7","6","15","0","19","0","19","0","19","3","5","0","19","3","5","2569","*****","2148","209","13","20","0","19","0","19","0","19","355","198","53","45","53","45","0","19"
"0500000US48187","Guadalupe County, Texas","150889","*****","94570","*****","77499","349","10668","399","304","113","2497","182","36","103","433","292","3133","445","224","143","2909","433","56319","*****","32220","1911","1007","312","171","96","114","96","193","182","21111","1927","1503","388","729","269","774","244"
"0500000US48077","Clay County, Texas","10369","*****","9782","*****","9370","17","56","40","126","50","29","25","0","21","0","21","201","47","20","19","181","46","587","*****","432","97","3","6","13","11","0","21","0","21","115","96","24","28","0","21","24","28"
"0500000US48205","Hartley County, Texas","5821","*****","4294","*****","3467","168","490","86","1","3","81","71","0","19","48","64","207","123","0","19","207","123","1527","*****","1329","102","5","11","0","19","0","19","0","19","131","88","62","74","62","74","0","19"
"0500000US48217","Hill County, Texas","35098","*****","28081","*****","25038","20","2210","163","85","47","102","38","70","92","5","7","571","162","52","39","519","157","7017","*****","5821","341","93","65","299","282","4","6","0","28","739","222","61","30","35","20","26","21"
"0500000US48293","Limestone County, Texas","23480","*****","18486","*****","13905","25","4140","74","66","38","156","19","0","25","50","58","169","59","0","25","169","59","4994","*****","3982","280","100","73","197","114","0","25","0","25","608","215","107","84","77","86","30","31"
"0500000US48347","Nacogdoches County, Texas","65411","*****","53039","*****","39199","45","11221","298","172","74","1072","44","0","31","17","22","1358","331","35","39","1323","330","12372","*****","10653","544","382","299","326","262","102","176","0","31","860","312","49","43","30","28","19","33"
"0500000US48369","Parmer County, Texas","9871","*****","3710","*****","3468","42","161","39","14","17","22","32","0","19","0","19","45","47","30","42","15","21","6161","*****","4980","317","0","19","48","38","0","19","23","40","853","268","257","124","155","83","102","92"
"0500000US48367","Parker County, Texas","125963","*****","111502","*****","106370","82","1642","244","622","223","613","131","52","58","132","91","2071","350","81","68","1990","349","14461","*****","11314","748","97","111","269","251","15","24","22","23","2360","685","384","178","244","156","140","83"
"0500000US48377","Presidio County, Texas","7191","*****","1337","131","979","124","0","19","0","19","358","48","0","19","0","19","0","19","0","19","0","19","5854","131","5565","250","0","19","77","97","0","19","0","19","212","186","0","19","0","19","0","19"
"0500000US48465","Val Verde County, Texas","48976","*****","9121","*****","7811","14","534","165","64","72","269","50","48","46","0","28","395","164","20","26","375","163","39855","*****","37506","566","130","135","55","47","14","21","0","28","1819","454","331","221","176","196","155","115"
"0500000US48109","Culberson County, Texas","2257","*****","436","131","392","124","8","9","0","13","6","11","0","13","0","13","30","41","0","13","30","41","1821","131","1493","177","0","13","0","13","0","13","0","13","328","127","0","13","0","13","0","13"
"0500000US48135","Ector County, Texas","155744","*****","64269","*****","53705","195","6451","361","283","105","1628","94","26","45","238","200","1938","389","37","57","1901","394","91475","*****","74466","1600","407","253","521","238","53","43","0","31","13227","1492","2801","620","842","310","1959","561"
"0500000US48169","Garza County, Texas","6739","190","3100","279","2726","284","300","209","6","17","38","34","0","19","7","12","23","37","0","19","23","37","3639","283","2990","312","7","11","14","27","0","19","0","19","521","154","107","83","85","82","22","23"
"0500000US48173","Glasscock County, Texas","1420","123","844","164","844","164","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","576","173","252","103","0","13","0","13","0","13","0","13","324","148","0","13","0","13","0","13"
"0500000US48185","Grimes County, Texas","27358","*****","20890","*****","16051","20","4259","162","71","31","28","25","0","25","13","18","468","161","7","10","461","162","6468","*****","5037","382","64","51","252","178","0","25","0","25","929","351","186","101","66","66","120","84"
"0500000US48453","Travis County, Texas","1176584","*****","778186","*****","580292","505","92653","1325","1875","382","74442","970","439","224","2250","537","26235","1702","1199","439","25036","1640","398398","*****","301113","4457","4645","912","3571","866","891","331","259","201","75942","4046","11977","1528","5024","778","6953","1261"
"0500000US48085","Collin County, Texas","914075","*****","776204","*****","540387","576","84259","787","2858","284","123495","1083","568","97","2377","691","22260","1331","1387","403","20873","1274","137871","*****","109447","2212","1075","397","1210","462","551","234","53","44","18924","1983","6611","981","3489","673","3122","666"
"0500000US48005","Angelina County, Texas","87700","*****","68829","*****","53704","50","12878","349","60","44","933","72","9","18","94","80","1151","358","24","26","1127","357","18871","*****","14764","700","135","87","336","356","0","31","0","31","3186","559","450","254","158","112","292","262"
"0500000US48087","Collingsworth County, Texas","3026","*****","2080","121","1824","125","105","46","129","72","4","7","0","13","0","13","18","16","0","13","18","16","946","121","489","177","8","11","10","14","0","13","0","13","371","198","68","65","13","13","55","62"
"0500000US48101","Cottle County, Texas","1498","121","1008","158","803","152","153","100","5","7","0","13","0","13","32","51","15","18","0","13","15","18","490","161","398","141","0","13","0","13","0","13","0","13","78","55","14","20","0","13","14","20"
"0500000US48209","Hays County, Texas","194843","*****","121235","*****","107718","286","6784","432","428","238","2503","264","85","144","410","255","3307","550","92","66","3215","547","73608","*****","62732","1364","580","244","211","152","161","185","143","143","7431","1232","2350","682","1213","373","1137","552"
"0500000US48279","Lamb County, Texas","13368","*****","6021","*****","5319","21","484","84","39","30","72","67","0","21","0","21","107","63","0","21","107","63","7347","*****","6386","311","192","180","2","3","5","5","0","21","530","201","232","109","123","93","109","57"
"0500000US48295","Lipscomb County, Texas","3495","*****","2449","137","2308","136","13","13","24","16","25","14","1","2","2","4","76","31","0","13","76","31","1046","137","760","130","0","13","0","13","2","3","0","13","220","94","64","38","28","24","36","28"
"0500000US48301","Loving County, Texas","74","33","62","29","55","28","0","13","4","6","0","13","0","13","0","13","3","4","0","13","3","4","12","13","12","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
"0500000US48321","Matagorda County, Texas","36744","*****","21514","*****","16503","6","3741","333","160","71","731","16","42","47","0","28","337","339","4","6","333","338","15230","*****","10940","898","29","38","93","133","0","28","0","28","3396","770","772","368","95","69","677","361"
"0500000US48371","Pecos County, Texas","15804","*****","4982","*****","4094","24","654","63","87","18","66","57","9","16","20","24","52","38","0","21","52","38","10822","*****","8551","506","15","18","20","29","0","21","0","21","2192","507","44","45","37","43","7","11"
"0500000US48395","Robertson County, Texas","16727","*****","13345","*****","9682","13","3299","74","41","22","45","47","18","19","10","13","250","88","16","18","234","92","3382","*****","3058","216","0","21","41","55","3","5","0","21","252","209","28","32","24","30","4","5"
"0500000US48397","Rockwall County, Texas","90414","*****","74995","*****","65357","52","5437","210","201","93","2195","229","0","31","41","52","1764","329","25","36","1739","327","15419","*****","12343","742","12","19","0","31","0","31","0","31","2162","636","902","386","352","189","550","309"
"0500000US48401","Rusk County, Texas","53026","*****","44467","*****","34304","18","9029","137","101","60","243","47","0","31","30","44","760","168","27","31","733","164","8559","*****","7654","331","47","49","13","19","0","31","0","31","632","334","213","122","127","88","86","95"
"0500000US48441","Taylor County, Texas","135371","*****","103152","*****","87366","124","10018","295","670","121","2612","204","73","74","192","145","2221","342","12","14","2209","346","32219","*****","17963","1135","379","177","504","266","52","72","0","31","11796","1149","1525","416","1047","331","478","228"
"0500000US48447","Throckmorton County, Texas","1541","142","1297","139","1271","139","2","4","0","13","5","8","0","13","0","13","19","24","0","13","19","24","244","101","244","101","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
"0500000US48455","Trinity County, Texas","14481","*****","13134","*****","11454","21","1382","112","44","27","52","73","0","21","0","21","202","92","0","21","202","92","1347","*****","1062","158","3","6","0","21","0","21","0","21","227","141","55","37","40","31","15","22"
"0500000US48471","Walker County, Texas","70818","*****","58234","*****","40319","6","16198","180","245","114","859","90","10","17","28","47","575","240","3","6","572","240","12584","*****","11427","526","21","24","26","42","16","26","0","31","654","499","440","227","66","55","374","220"
"0500000US48499","Wood County, Texas","43315","*****","39148","*****","36029","3","2389","136","260","88","38","35","34","55","49","59","349","125","8","8","341","127","4167","*****","2826","423","46","44","55","50","0","28","0","28","1021","410","219","157","68","87","151","127"
"0500000US48019","Bandera County, Texas","21316","*****","17480","*****","16788","31","213","179","48","54","47","54","0","25","16","27","368","118","10","15","358","118","3836","*****","2881","404","0","25","197","199","0","25","0","25","123","82","635","359","39","44","596","356"
"0500000US48007","Aransas County, Texas","24832","*****","18118","*****","16803","49","390","62","6","6","500","51","0","25","26","48","393","76","9","14","384","75","6714","*****","4997","523","17","27","93","104","0","25","0","25","834","389","773","441","301","348","472","239"
"0500000US48075","Childress County, Texas","7064","*****","5528","268","4525","306","512","165","68","51","102","84","242","275","0","19","79","68","0","19","79","68","1536","268","1295","283","0","19","0","19","58","91","0","19","150","95","33","38","25","35","8","13"
"0500000US48079","Cochran County, Texas","2932","*****","1260","*****","1104","13","77","30","6","8","0","13","0","13","0","13","73","32","0","13","73","32","1672","*****","1512","71","5","7","0","13","0","13","0","13","100","51","55","36","28","27","27","27"
"0500000US48081","Coke County, Texas","3238","*****","2556","*****","2490","27","21","11","20","16","5","6","0","13","0","13","20","24","0","13","20","24","682","*****","410","116","0","13","0","13","0","13","0","13","269","116","3","6","3","6","0","13"
"0500000US48091","Comal County, Texas","129100","*****","94535","*****","88661","182","2547","191","124","86","1344","147","44","36","132","181","1683","248","32","48","1651","246","34565","*****","28272","1046","18","22","152","97","22","36","0","31","5046","1069","1055","339","675","286","380","171"
"0500000US48099","Coryell County, Texas","75818","*****","62359","*****","45085","48","10391","501","456","204","1338","213","560","51","25","33","4504","544","57","61","4447","546","13459","*****","9680","477","532","209","160","107","80","82","105","79","1342","325","1560","328","219","98","1341","307"
"0500000US48211","Hemphill County, Texas","4152","*****","2691","137","2568","136","31","26","16","15","13","14","0","13","0","13","63","28","9","13","54","24","1461","137","1273","205","1","2","2","4","0","13","0","13","123","97","62","54","60","53","2","6"
"0500000US48225","Houston County, Texas","22849","*****","20410","*****","14155","53","5694","104","36","27","87","48","0","25","35","53","403","114","0","25","403","114","2439","*****","1411","288","32","45","10","18","0","25","0","25","844","291","142","85","67","60","75","62"
"0500000US48341","Moore County, Texas","22016","*****","10096","*****","7410","25","700","16","59","56","1735","76","0","25","0","25","192","92","0","25","192","92","11920","*****","9435","602","236","207","90","69","0","25","0","25","1811","585","348","224","156","121","192","167"
"0500000US48349","Navarro County, Texas","48239","*****","35592","*****","27631","20","6323","156","153","69","302","62","498","44","25","31","660","188","0","28","660","188","12647","*****","8866","943","116","161","766","406","0","28","0","28","2568","779","331","202","133","143","198","128"
"0500000US48375","Potter County, Texas","121230","*****","75670","*****","54757","79","11301","392","328","93","6343","210","85","15","89","71","2767","475","128","88","2639","473","45560","*****","40303","749","378","207","146","106","31","31","19","29","2990","535","1693","346","783","254","910","233"
"0500000US48405","San Augustine County, Texas","8403","*****","7819","*****","5783","19","1746","170","128","147","0","19","0","19","0","19","162","103","0","19","162","103","584","*****","457","128","0","19","50","68","0","19","0","19","77","113","0","19","0","19","0","19"
"0500000US48415","Scurry County, Texas","17346","*****","10455","*****","9306","62","784","139","21","24","38","33","0","21","30","51","276","137","19","25","257","134","6891","*****","5945","274","0","21","88","51","0","21","0","21","704","244","154","83","91","80","63","45"
"0500000US48417","Shackelford County, Texas","3348","*****","2957","*****","2867","13","6","5","10","14","6","10","0","13","0","13","68","18","0","13","68","18","391","*****","372","21","0","13","0","13","0","13","0","13","12","19","7","7","0","13","7","7"
"0500000US48427","Starr County, Texas","63420","*****","517","178","403","170","24","37","9","15","57","64","0","31","10","15","14","16","0","31","14","16","62903","178","59923","662","9","16","35","34","11","22","0","31","2675","635","250","154","231","155","19","21"
"0500000US48433","Stonewall County, Texas","1084","190","838","153","787","145","38","32","0","13","0","13","0","13","0","13","13","14","0","13","13","14","246","128","235","130","0","13","0","13","0","13","0","13","11","11","0","13","0","13","0","13"
"0500000US48461","Upton County, Texas","3575","*****","1797","142","1537","135","238","27","4","5","9","11","0","13","3","6","6","7","0","13","6","7","1778","142","292","111","5","7","0","13","0","13","0","13","1466","157","15","18","0","13","15","18"
"0500000US48021","Bastrop County, Texas","80306","*****","51423","*****","43147","278","6219","84","353","116","686","73","0","31","368","264","650","167","54","60","596","156","28883","*****","17835","1619","289","176","119","82","25","35","0","31","9764","1734","851","395","630","352","221","187"
"0500000US48049","Brown County, Texas","37787","*****","29668","*****","27465","5","1369","76","92","52","238","46","0","28","3","5","501","106","0","28","501","106","8119","*****","7199","252","127","74","39","54","12","18","0","28","610","221","132","86","47","45","85","75"
"0500000US48191","Hall County, Texas","3102","*****","2042","*****","1760","13","231","47","3","5","15","24","0","13","0","13","33","28","0","13","33","28","1060","*****","673","143","10","17","7","8","0","13","0","13","287","158","83","68","18","17","65","64"
"0500000US48025","Bee County, Texas","32729","*****","13671","*****","10555","28","2697","47","151","2","155","75","3","6","27","37","83","60","45","41","38","41","19058","*****","18039","317","85","74","22","38","6","18","0","28","560","209","346","169","220","142","126","95"
"0500000US48159","Franklin County, Texas","10639","*****","9160","*****","8468","21","481","127","57","92","5","11","12","17","0","21","137","103","0","21","137","103","1479","*****","955","194","4","7","0","21","0","21","0","21","406","183","114","72","114","72","0","21"
"0500000US48163","Frio County, Texas","19110","*****","4104","*****","3140","192","679","153","0","21","120","67","0","21","81","79","84","85","0","21","84","85","15006","*****","10490","1038","109","106","12","18","0","21","0","21","4237","1037","158","109","80","69","78","65"
"0500000US48103","Crane County, Texas","4836","*****","1800","*****","1591","13","201","11","3","8","0","13","0","13","0","13","5","8","0","13","5","8","3036","*****","875","222","11","13","3","7","0","13","0","13","2088","241","59","63","59","63","0","13"
"0500000US48281","Lampasas County, Texas","20473","*****","16538","*****","14916","25","621","164","84","61","226","73","211","140","40","50","440","129","29","42","411","130","3935","*****","3181","288","0","25","14","23","18","27","32","48","363","172","327","152","215","114","112","117"
"0500000US48307","McCulloch County, Texas","8145","*****","5574","*****","5067","276","161","88","1","2","0","19","0","19","202","276","143","88","0","19","143","88","2571","*****","1902","281","0","19","0","19","0","19","0","19","407","255","262","123","90","77","172","99"
"0500000US48319","Mason County, Texas","4122","*****","3121","182","2962","181","1","2","12","19","103","56","0","13","0","13","43","41","0","13","43","41","1001","182","602","184","0","13","54","61","0","13","0","13","136","92","209","117","24","39","185","114"
"0500000US48125","Dickens County, Texas","2224","*****","1610","87","1528","92","69","33","7","9","2","3","0","13","0","13","4","6","0","13","4","6","614","87","472","88","0","13","16","19","0","13","0","13","80","47","46","40","46","40","0","13"
"0500000US48287","Lee County, Texas","16850","*****","12934","*****","10731","31","1853","162","0","21","144","113","0","21","27","31","179","97","80","79","99","63","3916","*****","2776","509","0","21","6","9","17","29","0","21","1101","510","16","24","0","21","16","24"
"0500000US48439","Tarrant County, Texas","1983675","*****","1424650","*****","959103","649","308577","1812","5443","637","100560","1270","3298","280","3539","875","44130","2279","1501","318","42629","2271","559025","*****","402258","4802","6996","1259","3534","821","1031","327","143","98","126122","4677","18941","1525","9828","1076","9113","1109"
"0500000US48001","Anderson County, Texas","57747","*****","47766","*****","34468","14","12075","190","160","56","314","82","22","28","11","14","716","205","3","4","713","205","9981","*****","7848","683","8","14","112","101","0","31","0","31","1799","665","214","152","168","148","46","42"
"0500000US48139","Ellis County, Texas","164092","*****","122301","*****","102697","74","14640","571","419","138","1104","165","68","74","156","108","3217","641","32","31","3185","641","41791","*****","30950","1417","646","378","1414","662","12","19","21","31","6166","971","2582","693","736","284","1846","644"
"0500000US48239","Jackson County, Texas","14756","*****","9996","*****","8765","21","1049","108","0","21","44","42","14","21","0","21","124","89","0","21","124","89","4760","*****","4016","295","36","42","0","21","0","21","0","21","541","219","167","129","129","105","38","68"
"0500000US48265","Kerr County, Texas","50761","*****","37498","*****","35478","16","719","117","101","75","494","64","18","28","10","16","678","131","0","31","678","131","13263","*****","10496","701","30","37","327","184","18","26","0","31","2043","623","349","303","24","32","325","306"
"0500000US48331","Milam County, Texas","24479","*****","18173","*****","15408","12","2063","248","34","22","122","45","0","25","10","12","536","252","0","25","536","252","6306","*****","5221","494","129","143","12","20","12","19","0","25","789","425","143","137","3","4","140","137"
"0500000US48093","Comanche County, Texas","13492","*****","9815","*****","9504","2","90","52","62","55","81","49","0","21","1","2","77","47","0","21","77","47","3677","*****","3334","213","71","122","9","14","0","21","0","21","217","128","46","54","24","43","22","24"
"0500000US48145","Falls County, Texas","17289","*****","13350","*****","8909","21","4196","53","39","31","32","37","16","26","0","21","158","45","0","21","158","45","3939","*****","3449","213","70","62","17","20","0","21","0","21","338","195","65","46","0","21","65","46"
"0500000US48047","Brooks County, Texas","7251","*****","427","207","417","208","5","5","0","19","0","19","0","19","0","19","5","10","0","19","5","10","6824","207","5953","404","61","93","70","99","0","19","0","19","549","300","191","115","55","68","136","99"
"0500000US48015","Austin County, Texas","29292","*****","21694","*****","18533","38","2601","101","11","19","58","57","0","25","28","38","463","125","0","25","463","125","7598","*****","5089","506","22","26","0","25","0","25","0","25","2175","536","312","193","227","150","85","107"
"0500000US48261","Kenedy County, Texas","564","214","65","62","64","62","0","13","0","13","1","3","0","13","0","13","0","13","0","13","0","13","499","216","477","212","0","13","0","13","0","13","0","13","22","22","0","13","0","13","0","13"
"0500000US48355","Nueces County, Texas","358484","*****","132673","*****","108703","119","12915","273","806","181","6823","254","220","63","229","133","2977","401","151","101","2826","387","225811","*****","209145","1638","689","235","903","319","221","158","0","31","11721","1498","3132","630","2090","510","1042","345"
"0500000US48089","Colorado County, Texas","20913","*****","14868","*****","11918","66","2727","47","30","47","14","38","0","25","0","25","179","75","44","66","135","38","6045","*****","3759","606","10","20","9","19","0","25","0","25","2191","615","76","68","52","61","24","31"
"0500000US48409","San Patricio County, Texas","66867","*****","28863","*****","26351","20","992","156","115","85","669","61","14","14","10","15","712","202","43","42","669","193","38004","*****","35397","487","119","112","68","52","10","16","11","19","1473","423","926","318","339","152","587","270"
"0500000US48379","Rains County, Texas","11246","*****","10273","*****","9653","16","172","91","109","40","9","11","0","21","0","21","330","105","15","16","315","104","973","*****","496","218","0","21","0","21","0","21","0","21","466","218","11","12","11","12","0","21"
"0500000US48381","Randall County, Texas","130552","*****","104238","*****","95851","90","3596","278","517","116","1906","270","103","79","90","73","2175","419","90","72","2085","404","26314","*****","21297","767","160","133","240","137","55","91","9","13","2905","622","1648","409","713","201","935","349"
"0500000US48385","Real County, Texas","3358","*****","2694","177","2685","177","7","6","0","13","1","3","0","13","0","13","1","2","0","13","1","2","664","177","623","179","0","13","0","13","0","13","0","13","41","44","0","13","0","13","0","13"
"0500000US48411","San Saba County, Texas","5851","*****","4112","*****","3823","19","161","90","0","19","1","3","0","19","0","19","127","90","0","19","127","90","1739","*****","1310","145","9","18","0","19","0","19","0","19","362","143","58","46","13","14","45","42"
"0500000US48413","Schleicher County, Texas","3122","*****","1504","*****","1489","15","9","14","0","13","4","6","0","13","0","13","2","3","0","13","2","3","1618","*****","499","184","0","13","0","13","0","13","0","13","1119","184","0","13","0","13","0","13"
"0500000US48431","Sterling County, Texas","1139","158","674","138","654","139","3","7","0","13","0","13","0","13","0","13","17","24","0","13","17","24","465","125","389","130","0","13","0","13","0","13","0","13","76","49","0","13","0","13","0","13"
"0500000US48507","Zavala County, Texas","12152","*****","778","*****","660","70","61","41","11","15","4","9","0","21","0","21","42","40","0","21","42","40","11374","*****","10446","392","0","21","0","21","0","21","0","21","886","390","42","61","4","6","38","60"
"0500000US48057","Calhoun County, Texas","21821","*****","11318","*****","9426","25","567","70","13","12","1079","61","14","23","0","25","219","88","0","25","219","88","10503","*****","9461","317","13","27","0","25","24","35","0","25","368","154","637","301","60","82","577","285"
"0500000US48065","Carson County, Texas","6033","*****","5447","*****","5215","19","39","34","23","22","32","27","13","16","0","19","125","69","0","19","125","69","586","*****","537","54","0","19","0","19","0","19","0","19","23","24","26","46","26","46","0","19"
"0500000US48155","Foard County, Texas","1414","158","1108","125","1077","126","31","38","0","13","0","13","0","13","0","13","0","13","0","13","0","13","306","115","114","59","0","13","0","13","0","13","0","13","107","65","85","72","85","72","0","13"
"0500000US48161","Freestone County, Texas","19646","*****","16755","*****","13269","33","3164","101","30","24","72","37","0","21","0","21","220","115","43","42","177","107","2891","*****","2631","163","23","32","1","3","17","52","0","21","209","146","10","14","6","10","4","7"
"0500000US48175","Goliad County, Texas","7510","*****","4835","*****","4401","19","400","41","0","19","12","19","0","19","0","19","22","34","0","19","22","34","2675","*****","1234","295","8","13","0","19","0","19","0","19","1433","295","0","19","0","19","0","19"
"0500000US48193","Hamilton County, Texas","8220","*****","7233","*****","6994","37","55","39","58","35","16","23","0","19","0","19","110","56","25","37","85","52","987","*****","869","92","0","19","0","19","0","19","0","19","84","67","34","56","27","44","7","13"
"0500000US48197","Hardeman County, Texas","3990","*****","3140","113","2738","116","277","73","16","22","19","24","0","13","0","13","90","60","0","13","90","60","850","113","719","133","8","13","0","13","0","13","0","13","123","89","0","13","0","13","0","13"
